nft_id,price_value
13001,861100000000000000
13002,836600000000000000
13003,836600000000000000
13004,836600000000000000
13005,836600000000000000
13006,836600000000000000
13007,836600000000000000
13008,836600000000000000
13009,836600000000000000
13010,836600000000000000
13011,836600000000000000
13012,836600000000000000
13013,836600000000000000
13014,836600000000000000
13015,836600000000000000
13016,1450000000000000000
13017,836600000000000000
13018,836600000000000000
13019,839200000000000000
13020,836600000000000000
13021,836600000000000000
13022,836600000000000000
13023,836600000000000000
13024,836600000000000000
13025,836600000000000000
13026,836600000000000000
13027,836600000000000000
13028,836600000000000000
13029,836600000000000000
13030,836600000000000000
13031,836600000000000000
13032,836600000000000000
13033,836600000000000000
13034,836600000000000000
13035,836600000000000000
13036,1740000000000000000
13037,836600000000000000
13038,859000000000000000
13039,836600000000000000
13040,836600000000000000
13041,836600000000000000
13042,836600000000000000
13043,836600000000000000
13044,836600000000000000
13045,841700000000000000
13046,836600000000000000
13047,836600000000000000
13048,836600000000000000
13049,836600000000000000
13050,836600000000000000
13051,836600000000000000
13052,861100000000000000
13053,836600000000000000
13054,836600000000000000
13055,836600000000000000
13056,836600000000000000
13057,809400000000000000
13058,809400000000000000
13059,809400000000000000
13060,809600000000000000
13061,853200000000000000
13062,809600000000000000
13063,809600000000000000
13064,905000000000000000
13065,809800000000000000
13066,810000000000000000
13067,810000000000000000
13068,810000000000000000
13069,810000000000000000
13070,810000000000000000
13071,810000000000000000
13072,810000000000000000
13073,810200000000000000
13074,810200000000000000
13075,810400000000000000
13076,842300000000000000
13077,854500000000000000
13078,810400000000000000
13079,810600000000000000
13080,810600000000000000
13081,865000000000000000
13082,810800000000000000
13083,810800000000000000
13084,810800000000000000
13085,810800000000000000
13086,810800000000000000
13087,811000000000000000
13088,885000000000000000
13089,811000000000000000
13090,811200000000000000
13091,811200000000000000
13092,811200000000000000
13093,811200000000000000
13094,811400000000000000
13095,811600000000000000
13096,811600000000000000
13097,811600000000000000
13098,811600000000000000
13099,811600000000000000
13100,811600000000000000
13101,811600000000000000
13102,811800000000000000
13103,811800000000000000
13104,812000000000000000
13105,849400000000000000
13106,812000000000000000
13107,812000000000000000
13108,812200000000000000
13109,812200000000000000
13110,870800000000000000
13111,812400000000000000
13112,812400000000000000
13113,812400000000000000
13114,812400000000000000
13115,812400000000000000
13116,812600000000000000
13117,812600000000000000
13118,812800000000000000
13119,812800000000000000
13120,812800000000000000
13121,812800000000000000
13122,813000000000000000
13123,813000000000000000
13124,813200000000000000
13125,813200000000000000
13126,813200000000000000
13127,813200000000000000
13128,813200000000000000
13129,813200000000000000
13130,849500000000000000
13131,813400000000000000
13132,813600000000000000
13133,813600000000000000
13134,813600000000000000
13135,813600000000000000
13136,813800000000000000
13137,814000000000000000
13138,814000000000000000
13139,814000000000000000
13140,814000000000000000
13141,814000000000000000
13142,814000000000000000
13143,814000000000000000
13144,814000000000000000
13145,814200000000000000
13146,814200000000000000
13147,814400000000000000
13148,814400000000000000
13149,814400000000000000
13150,814600000000000000
13151,814600000000000000
13152,814800000000000000
13153,814800000000000000
13154,814800000000000000
13155,814800000000000000
13156,814800000000000000
13157,814800000000000000
13158,814800000000000000
13159,815000000000000000
13160,815000000000000000
13161,815200000000000000
13162,815200000000000000
13163,815200000000000000
13164,815200000000000000
13165,815400000000000000
13166,815400000000000000
13167,815600000000000000
13168,815600000000000000
13169,815600000000000000
13170,815600000000000000
13171,815600000000000000
13172,815600000000000000
13173,815600000000000000
13174,816000000000000000
13175,816000000000000000
13176,816000000000000000
13177,816200000000000000
13178,816200000000000000
13179,816400000000000000
13180,816400000000000000
13181,816400000000000000
13182,816400000000000000
13183,816400000000000000
13184,881900000000000000
13185,816400000000000000
13186,816600000000000000
13187,816600000000000000
13188,816800000000000000
13189,816800000000000000
13190,816800000000000000
13191,817000000000000000
13192,817200000000000000
13193,817200000000000000
13194,817200000000000000
13195,1004400000000000000
13196,817200000000000000
13197,1102200000000000000
13198,817200000000000000
13199,817200000000000000
13200,817400000000000000
13201,817600000000000000
13202,817600000000000000
13203,871900000000000000
13204,817600000000000000
13205,817800000000000000
13206,818000000000000000
13207,818000000000000000
13208,818000000000000000
13209,818000000000000000
13210,880400000000000000
13211,818000000000000000
13212,818000000000000000
13213,818200000000000000
13214,818200000000000000
13215,818400000000000000
13216,818400000000000000
13217,818400000000000000
13218,818400000000000000
13219,818600000000000000
13220,818600000000000000
13221,818800000000000000
13222,818800000000000000
13223,818800000000000000
13224,818800000000000000
13225,818800000000000000
13226,818800000000000000
13227,841400000000000000
13228,867200000000000000
13229,819000000000000000
13230,819200000000000000
13231,819200000000000000
13232,829600000000000000
13233,819200000000000000
13234,819200000000000000
13235,819200000000000000
13236,819200000000000000
13237,841500000000000000
13238,819200000000000000
13239,819400000000000000
13240,819400000000000000
13241,819400000000000000
13242,819600000000000000
13243,819600000000000000
13244,1000000000000000000
13245,1800000000000000000
13246,820000000000000000
13247,820000000000000000
13248,820000000000000000
13249,820000000000000000
13250,820000000000000000
13251,820000000000000000
13252,820000000000000000
13253,820000000000000000
13254,820200000000000000
13255,820200000000000000
13256,820400000000000000
13257,820400000000000000
13258,2310000000000000000
13259,820400000000000000
13260,820600000000000000
13261,820600000000000000
13262,820800000000000000
13263,1000000000000000000
13264,820800000000000000
13265,820800000000000000
13266,820800000000000000
13267,820800000000000000
13268,821000000000000000
13269,821000000000000000
13270,821000000000000000
13271,842900000000000000
13272,821200000000000000
13273,821400000000000000
13274,821400000000000000
13275,821600000000000000
13276,821600000000000000
13277,821600000000000000
